family,n_tasks,r2_size,rho_size,r2_trajectory,regime_majority,share_majority
arc,2,0.9896702757628042,1.0,0.9292506560443575,predictable across both,1.0
bpb,30,0.948574851092665,1.0,0.8962108829078728,predictable across both,1.0
hellaswag,18,0.9631253380761842,1.0,0.9839749731774408,predictable across both,1.0
include_base_44,1,0.5268946539713764,-0.2,0.15495513649857512,declines with size,1.0
lambada_openai_mt,5,0.9903206662864193,1.0,0.941205009889942,predictable across both,1.0
multiblimp,22,0.8737429481041072,1.0,0.8674095884412321,predictable across both,0.9090909090909091
paws,2,0.8805397575100067,1.0,0.4933258340161514,predictable across both,0.5
rf_belebele,35,0.9378664254632016,1.0,0.6935619922748049,predictable across both,0.8285714285714286
rf_global_mmlu_full,21,0.9084209630936276,1.0,0.8954751467338906,predictable across both,0.9523809523809523
rf_include_base_44,13,0.9195463847287446,1.0,0.5833521049462843,predictable across both,0.7692307692307693
rfgm_include_base_44,14,0.9469795171585269,1.0,0.7325773744530458,predictable across both,0.8571428571428571
xcopa,6,0.9076281632319333,0.8999999999999999,0.7313284417260376,predictable across both,0.6666666666666666
xnli,11,0.8942191262973403,0.8999999999999998,0.7213634241649415,predictable across both,1.0
xstorycloze,7,0.9897006709939977,1.0,0.9177353108914793,predictable across both,1.0
xwinograd,6,0.9390690461699978,1.0,0.7497365576452255,predictable across both,0.6666666666666666
