task,L,family,kind,n_rungs,gated_rungs,gated,slope,r2,rho,n_options
arc_ar,15,arc,benchmark,0,5,True,,,,4.0
arc_ar,30,arc,benchmark,0,5,True,,,,4.0
arc_ar,50,arc,benchmark,0,5,True,,,,4.0
arc_bn,30,arc,benchmark,0,5,True,,,,4.0
arc_bn,50,arc,benchmark,0,5,True,,,,4.0
arc_ca,50,arc,benchmark,1,4,True,,,,4.0
arc_challenge,1,arc,benchmark,3,2,False,0.22416341081660124,0.9827619621812897,1.0,4.0
arc_challenge,2,arc,benchmark,3,2,False,0.23211487680057855,0.999024290281852,1.0,4.0
arc_challenge,8,arc,benchmark,3,2,False,0.21486199306290765,0.9933302045797395,1.0,4.0
arc_challenge,15,arc,benchmark,3,2,False,0.21877906530757696,0.9995620533726772,1.0,4.0
arc_challenge,30,arc,benchmark,3,2,False,0.2151511173474809,0.9984309742607349,1.0,4.0
arc_challenge,50,arc,benchmark,3,2,False,0.20604101270290773,0.9670411996878326,1.0,4.0
arc_da,30,arc,benchmark,1,4,True,,,,4.0
arc_da,50,arc,benchmark,1,4,True,,,,4.0
arc_de,8,arc,benchmark,1,4,True,,,,4.0
arc_de,15,arc,benchmark,1,4,True,,,,4.0
arc_de,30,arc,benchmark,1,4,True,,,,4.0
arc_de,50,arc,benchmark,1,4,True,,,,4.0
arc_easy,1,arc,benchmark,5,0,False,0.23466064946441764,0.9571188813288228,0.9999999999999999,4.0
arc_easy,2,arc,benchmark,5,0,False,0.2665284872613479,0.9941868499720817,0.9999999999999999,4.0
arc_easy,8,arc,benchmark,5,0,False,0.27730499052401447,0.9798802116661051,0.9999999999999999,4.0
arc_easy,15,arc,benchmark,5,0,False,0.28671890486175183,0.9976082339516738,0.9999999999999999,4.0
arc_easy,30,arc,benchmark,5,0,False,0.2640319086303855,0.9833599861032899,0.9999999999999999,4.0
arc_easy,50,arc,benchmark,5,0,False,0.25040086571050896,0.9835599381074526,0.9999999999999999,4.0
arc_es,8,arc,benchmark,2,3,True,,,,4.0
arc_es,15,arc,benchmark,2,3,True,,,,4.0
arc_es,30,arc,benchmark,2,3,True,,,,4.0
arc_es,50,arc,benchmark,2,3,True,,,,4.0
arc_fr,8,arc,benchmark,1,4,True,,,,4.0
arc_fr,15,arc,benchmark,1,4,True,,,,4.0
arc_fr,30,arc,benchmark,1,4,True,,,,4.0
arc_fr,50,arc,benchmark,1,4,True,,,,4.0
arc_hi,30,arc,benchmark,0,5,True,,,,4.0
arc_hi,50,arc,benchmark,0,5,True,,,,4.0
arc_hr,50,arc,benchmark,0,5,True,,,,4.0
arc_hu,30,arc,benchmark,0,5,True,,,,4.0
arc_hu,50,arc,benchmark,0,5,True,,,,4.0
arc_id,15,arc,benchmark,1,4,True,,,,4.0
arc_id,30,arc,benchmark,1,4,True,,,,4.0
arc_id,50,arc,benchmark,1,4,True,,,,4.0
arc_it,8,arc,benchmark,2,3,True,,,,4.0
arc_it,15,arc,benchmark,2,3,True,,,,4.0
arc_it,30,arc,benchmark,2,3,True,,,,4.0
arc_it,50,arc,benchmark,2,3,True,,,,4.0
arc_ml,50,arc,benchmark,0,5,True,,,,4.0
arc_mr,50,arc,benchmark,0,5,True,,,,4.0
arc_ne,50,arc,benchmark,0,5,True,,,,4.0
arc_nl,15,arc,benchmark,1,4,True,,,,4.0
arc_nl,30,arc,benchmark,1,4,True,,,,4.0
arc_nl,50,arc,benchmark,1,4,True,,,,4.0
arc_pt,15,arc,benchmark,2,3,True,,,,4.0
arc_pt,30,arc,benchmark,2,3,True,,,,4.0
arc_pt,50,arc,benchmark,2,3,True,,,,4.0
arc_ro,30,arc,benchmark,1,4,True,,,,4.0
arc_ro,50,arc,benchmark,1,4,True,,,,4.0
